hotel,canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,avg_daily_rate,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_nights,total_guests,arrival_date,lead_time_category,price_quartile,country_upper,is_online,country_prefix,status_length,market_Complementary,market_Corporate,market_Direct,market_Groups,market_Offline TA/TO,market_Online TA,market_Undefined,star_rating
Resort Hotel,0,35,2015,july,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,145.0,0,0,Check-Out,2015-07-05,4,2.0,2015-07-01,Planned,Premium,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,68,2015,july,27,1,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,2.0,2015-07-01,Planned,Medium,USA,True,US,9,False,False,False,False,False,True,False,4
Resort Hotel,0,18,2015,july,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,0,0,Transient,154.77,0,1,Check-Out,2015-07-05,4,3.0,2015-07-01,Short Notice,Premium,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,0,37,2015,july,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,94.71,0,0,Check-Out,2015-07-05,4,2.0,2015-07-01,Planned,Medium,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,68,2015,july,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,97.0,0,3,Check-Out,2015-07-05,4,2.0,2015-07-01,Planned,Medium,IRL,True,IR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,37,2015,july,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,0,0,Contract,97.5,0,0,Check-Out,2015-07-05,4,2.0,2015-07-01,Planned,Medium,PRT,False,PR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,12,2015,july,27,1,0,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,0,0,Transient,88.2,0,0,Check-Out,2015-07-02,1,2.0,2015-07-01,Short Notice,Medium,IRL,True,IR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,0,2015,july,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,0,110,0,Transient,107.42,0,0,Check-Out,2015-07-02,1,2.0,2015-07-01,Last Minute,High,FRA,False,FR,9,False,True,False,False,False,False,False,4
Resort Hotel,0,7,2015,july,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,0,0,Transient,153.0,0,1,Check-Out,2015-07-05,4,2.0,2015-07-01,Last Minute,Premium,GBR,False,GB,9,False,False,True,False,False,False,False,4
Resort Hotel,0,37,2015,july,27,1,1,4,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,0,0,Transient,97.29,0,1,Check-Out,2015-07-06,5,1.0,2015-07-01,Planned,Medium,GBR,True,GB,9,False,False,False,False,False,True,False,4
Resort Hotel,0,72,2015,july,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,0,0,Transient,84.67,0,1,Check-Out,2015-07-07,6,2.0,2015-07-01,Planned,Medium,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,72,2015,july,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,99.67,0,1,Check-Out,2015-07-07,6,2.0,2015-07-01,Planned,High,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,127,2015,july,27,1,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,0,0,Contract,94.95,0,1,Check-Out,2015-07-01,7,2.0,2015-07-01,Far Advance,Medium,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,0,78,2015,july,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,63.6,1,0,Check-Out,2015-07-08,7,2.0,2015-07-01,Planned,Low,PRT,False,PR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,48,2015,july,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-08,7,2.0,2015-07-01,Planned,Medium,IRL,False,IR,9,False,False,False,False,True,False,False,4
Resort Hotel,1,60,2015,july,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,107.0,0,2,Canceled,2015-05-11,7,2.0,2015-07-01,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,77,2015,july,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,94.0,0,0,Check-Out,2015-07-08,7,2.0,2015-07-01,Planned,Medium,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,99,2015,july,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,87.3,1,1,Check-Out,2015-07-08,7,2.0,2015-07-01,Far Advance,Medium,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,118,2015,july,27,1,4,10,1,0.0,0,BB,Unknown,Direct,Direct,0,0,0,A,A,2,No Deposit,0,0,0,Transient,62.0,0,2,Check-Out,2015-07-15,14,1.0,2015-07-01,Far Advance,Low,UNKNOWN,False,Un,9,False,False,True,False,False,False,False,4
Resort Hotel,0,95,2015,july,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,63.86,0,0,Check-Out,2015-07-16,15,2.0,2015-07-01,Far Advance,Low,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,1,96,2015,july,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,0,0,Transient,108.3,0,2,Canceled,2015-05-29,10,2.0,2015-07-01,Far Advance,High,PRT,False,PR,8,False,False,True,False,False,False,False,4
Resort Hotel,0,69,2015,july,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,0,0,Transient,65.5,0,0,Check-Out,2015-07-08,6,2.0,2015-07-02,Planned,Low,IRL,False,IR,9,False,False,False,False,True,False,False,4
Resort Hotel,1,45,2015,july,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-05-19,4,3.0,2015-07-02,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,1,40,2015,july,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Canceled,2015-06-19,4,3.0,2015-07-02,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,15,2015,july,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,0,0,Check-Out,2015-07-06,4,2.0,2015-07-02,Short Notice,Medium,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,0,36,2015,july,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,1,Check-Out,2015-07-06,4,3.0,2015-07-02,Planned,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,1,43,2015,july,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,108.8,0,0,Canceled,2015-05-23,4,3.0,2015-07-02,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,70,2015,july,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,0,0,Transient,137.0,0,1,Check-Out,2015-07-07,5,2.0,2015-07-02,Planned,Premium,ROU,False,RO,9,False,False,True,False,False,False,False,4
Resort Hotel,1,45,2015,july,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Canceled,2015-05-18,5,2.0,2015-07-02,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,45,2015,july,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,0,0,Contract,79.5,0,0,Check-Out,2015-07-07,5,2.0,2015-07-02,Planned,Medium,IRL,False,IR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,16,2015,july,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-07,5,2.0,2015-07-02,Short Notice,High,ESP,False,ES,9,False,False,True,False,False,False,False,4
Resort Hotel,0,107,2015,july,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,110.7,0,2,Check-Out,2015-07-09,7,2.0,2015-07-02,Far Advance,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,1,47,2015,july,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,153.0,0,0,Canceled,2015-06-02,7,4.0,2015-07-02,Planned,Premium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,96,2015,july,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,0,0,Transient,58.95,0,1,Check-Out,2015-07-09,7,2.0,2015-07-02,Far Advance,Low,ESP,False,ES,9,False,False,False,False,True,False,False,4
Resort Hotel,0,113,2015,july,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,0,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09,7,2.0,2015-07-02,Far Advance,Medium,NOR,False,NO,9,False,False,False,False,True,False,False,4
Resort Hotel,0,90,2015,july,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,0,0,Contract,82.35,0,0,Check-Out,2015-07-09,7,2.0,2015-07-02,Planned,Medium,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,0,50,2015,july,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,0,0,Transient,119.35,0,1,Check-Out,2015-07-09,7,2.0,2015-07-02,Planned,High,IRL,True,IR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,113,2015,july,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,0,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09,7,2.0,2015-07-02,Far Advance,Low,NOR,False,NO,9,False,False,False,False,True,False,False,4
Resort Hotel,0,93,2015,july,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,0,0,Contract,56.01,0,0,Check-Out,2015-07-13,11,2.0,2015-07-02,Far Advance,Low,IRL,False,IR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,76,2015,july,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,0,0,Contract,110.7,0,0,Check-Out,2015-07-16,14,2.0,2015-07-02,Planned,High,OMN,False,OM,9,False,False,False,False,True,False,False,4
Resort Hotel,0,3,2015,july,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,88.2,1,0,Check-Out,2015-07-03,1,2.0,2015-07-02,Last Minute,Medium,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,0,1,2015,july,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,147.0,1,0,Check-Out,2015-07-03,1,2.0,2015-07-02,Last Minute,Premium,ARG,True,AR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,1,2015,july,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient,107.0,1,2,Check-Out,2015-07-03,1,4.0,2015-07-02,Last Minute,High,ESP,False,ES,9,False,False,True,False,False,False,False,4
Resort Hotel,0,0,2015,july,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,0,0,Transient,147.0,0,0,Check-Out,2015-07-03,1,2.0,2015-07-02,Last Minute,Premium,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,0,2015,july,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,0,0,Transient,117.9,0,2,Check-Out,2015-07-03,1,2.0,2015-07-02,Last Minute,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,0,2015,july,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,0,0,0,Transient,123.0,0,0,Check-Out,2015-07-03,1,2.0,2015-07-02,Last Minute,High,PRT,False,PR,9,False,False,True,False,False,False,False,4
Resort Hotel,0,14,2015,july,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,0,0,Transient,98.0,0,1,Check-Out,2015-07-04,2,2.0,2015-07-02,Short Notice,Medium,USA,True,US,9,False,False,False,False,False,True,False,4
Resort Hotel,0,10,2015,july,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,117.81,0,0,Check-Out,2015-07-04,2,2.0,2015-07-02,Short Notice,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,5,2015,july,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,135.0,1,2,Check-Out,2015-07-04,2,2.0,2015-07-02,Last Minute,Premium,IRL,True,IR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,17,2015,july,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,133.0,0,1,Check-Out,2015-07-05,3,2.0,2015-07-02,Short Notice,High,ESP,False,ES,9,False,False,True,False,False,False,False,4
Resort Hotel,0,93,2015,july,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,0,0,Contract,58.95,0,0,Check-Out,2015-07-05,3,2.0,2015-07-02,Far Advance,Low,IRL,False,IR,9,False,False,False,False,True,False,False,4
Resort Hotel,1,3,2015,july,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,136.33,0,2,Canceled,2015-06-29,3,2.0,2015-07-02,Last Minute,Premium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,10,2015,july,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,0,0,Transient,153.0,1,0,Check-Out,2015-07-05,2,4.0,2015-07-03,Short Notice,Premium,USA,True,US,9,False,False,False,False,False,True,False,4
Resort Hotel,0,3,2015,july,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,110.5,0,0,Check-Out,2015-07-05,2,2.0,2015-07-03,Last Minute,High,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,0,51,2015,july,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,97.0,0,0,Check-Out,2015-07-05,2,2.0,2015-07-03,Planned,Medium,POL,True,PO,9,False,False,False,False,False,True,False,4
Resort Hotel,1,71,2015,july,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,2,Canceled,2015-06-16,2,3.0,2015-07-03,Planned,High,PRT,False,PR,8,False,False,False,False,True,False,False,4
Resort Hotel,1,63,2015,july,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,82.0,0,2,Canceled,2015-06-18,2,2.0,2015-07-03,Planned,Medium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,1,62,2015,july,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,97.0,0,1,Canceled,2015-07-03,2,2.0,2015-07-03,Planned,Medium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,1,101,2015,july,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,73.8,0,1,Canceled,2015-06-12,2,2.0,2015-07-03,Far Advance,Medium,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,2,2015,july,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,0,Transient,91.5,0,0,Check-Out,2015-07-05,2,2.0,2015-07-03,Last Minute,Medium,PRT,False,PR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,15,2015,july,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,114.5,0,0,Check-Out,2015-07-05,2,2.0,2015-07-03,Short Notice,High,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,1,51,2015,july,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,110.3,0,0,Canceled,2015-06-09,2,3.0,2015-07-03,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,3,2015,july,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,90.9,1,0,Check-Out,2015-07-06,3,2.0,2015-07-03,Last Minute,Medium,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,1,48,2015,july,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Canceled,2015-05-26,3,2.0,2015-07-03,Planned,High,PRT,True,PR,8,False,False,False,False,False,True,False,4
Resort Hotel,0,2,2015,july,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,122.0,0,0,Check-Out,2015-07-07,4,1.0,2015-07-03,Last Minute,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,72,2015,july,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,0,0,Transient,110.7,1,0,Check-Out,2015-07-07,4,2.0,2015-07-03,Planned,High,DEU,False,DE,9,False,False,False,False,True,False,False,4
Resort Hotel,0,81,2015,july,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,85.86,0,0,Check-Out,2015-07-11,8,3.0,2015-07-03,Planned,Medium,PRT,False,PR,9,False,False,False,False,True,False,False,4
Resort Hotel,0,99,2015,july,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,58.95,0,0,Check-Out,2015-07-12,9,2.0,2015-07-03,Far Advance,Low,FRA,False,FR,9,False,False,False,False,True,False,False,4
Resort Hotel,1,368,2015,july,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Canceled,2015-05-19,10,2.0,2015-07-03,Far Advance,Low,PRT,False,PR,8,False,False,False,False,True,False,False,4
Resort Hotel,0,364,2015,july,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,0,0,Contract,55.68,0,0,Check-Out,2015-07-13,10,2.0,2015-07-03,Far Advance,Low,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,1,81,2015,july,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,0,0,Transient,124.0,0,1,Canceled,2015-06-09,10,2.0,2015-07-03,Planned,High,PRT,False,PR,8,False,False,True,False,False,False,False,4
Resort Hotel,0,99,2015,july,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Contract,111.15,0,0,Check-Out,2015-07-13,10,2.0,2015-07-03,Far Advance,High,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,0,324,2015,july,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,134.73,0,0,Check-Out,2015-07-17,14,2.0,2015-07-03,Far Advance,Premium,GBR,False,GB,9,False,False,False,False,True,False,False,4
Resort Hotel,0,69,2015,july,27,3,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,0,0,Transient,92.45,0,1,Check-Out,2015-07-17,14,2.0,2015-07-03,Planned,Medium,GBR,True,GB,9,False,False,False,False,False,True,False,4
Resort Hotel,1,79,2015,july,27,3,6,15,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,0,0,Transient,108.73,0,2,Canceled,2015-04-15,21,3.0,2015-07-03,Planned,High,PRT,False,PR,8,False,False,False,False,True,False,False,4
Resort Hotel,0,12,2015,july,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,73.8,0,0,Check-Out,2015-07-04,1,2.0,2015-07-03,Short Notice,Medium,GBR,True,GB,9,False,False,False,False,False,True,False,4
Resort Hotel,0,9,2015,july,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,98.0,1,2,Check-Out,2015-07-04,1,2.0,2015-07-03,Short Notice,Medium,PRT,True,PR,9,False,False,False,False,False,True,False,4
Resort Hotel,0,1,2015,july,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,131.0,0,1,Check-Out,2015-07-04,1,2.0,2015-07-03,Last Minute,High,ESP,True,ES,9,False,False,False,False,False,True,False,4
Resort Hotel,0,21,2015,july,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,0,0,Transient,123.0,0,0,Check-Out,2015-07-04,1,2.0,2015-07-03,Short Notice,High,PRT,True,PR,9,False,False,False,False,False,True,False,4
